City,Temperature,Condition,Humidity,Wind
Baheri,30.28,broken clouds,23,2.28
Bagaha,35.71,overcast clouds,34,4.66
Vatakara,27.65,broken clouds,81,4.17
Aurangābād,38.98,overcast clouds,32,1.52
Attur,32.31,overcast clouds,53,2.69
Attingal,25.82,overcast clouds,86,4.82
Attili,31.11,broken clouds,66,4.86
Athani,28.32,broken clouds,65,9.05
Pushkar,34.82,overcast clouds,38,0.09
Pusad,33.46,broken clouds,51,4.26
Puliyankudi,26.67,overcast clouds,80,5.37
Pithāpuram,36.14,broken clouds,73,2.5
Pilkhuwa,38.02,overcast clouds,35,2.34
Phaltan,29.83,broken clouds,60,7.01
Petlād,34.03,overcast clouds,56,4.5
Perambalur,32.17,overcast clouds,51,7.2
Pauri,27.65,broken clouds,55,3.67
Pattukkottai,31.18,overcast clouds,58,2.11
Parli,33.29,broken clouds,47,2.25
Paramagudi,33.91,overcast clouds,44,7.27
Panruti,34.5,overcast clouds,45,4.51
Pālitāna,32.64,overcast clouds,60,5.41
